sku,category,description,unit,unit_price,currency,source,updated_at,tags
EQP-100-01-COMPRESOR-DE-AIRE-IR-185CFM-2-PISTOLAS,COSTOS HORARIOS MAQUINARIAS,COMPRESOR DE AIRE IR 185CFM 2 PISTOLAS,HR,1906.78,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,COMPRESOR DE AIRE IR 185CFM 2 PISTOLAS COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.01 COMPRESOR DE AIRE IR 185CFM 2 PISTOLAS COSTOS HORARIOS MAQUINARIAS
EQP-100-02-MINICARGADOR-BOBCAT-763-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,MINICARGADOR BOBCAT 763 O SIMILAR,HR,1694.04,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,MINICARGADOR BOBCAT 763 O SIMILAR COSTOS HORARIOS MAQUINARIAS Praintex - Agregados y Botes 100.02 MINICARGADOR BOBCAT 763 O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-03-RETROPALA-CAT416E-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,RETROPALA CAT416E O SIMILAR,HR,3176.44,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,RETROPALA CAT416E O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.03 RETROPALA CAT416E O SIMILAR COSTOS HORARIOS MAQUINARIAS retroexcavadora
EQP-100-04-EXCAVADORA-CAT320D-CUBO-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,EXCAVADORA CAT320D CUBO O SIMILAR,HR,4235.10,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVADORA CAT320D CUBO O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.04 EXCAVADORA CAT320D CUBO O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-05-EXCAVADORA-CAT330D-CUBO-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,EXCAVADORA CAT330D CUBO O SIMILAR,HR,5843.96,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVADORA CAT330D CUBO O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.05 EXCAVADORA CAT330D CUBO O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-06-EXCAVADORA-CAT320D-MARTILLO-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,EXCAVADORA CAT320D MARTILLO O SIMILAR,HR,5082.56,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVADORA CAT320D MARTILLO O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.06 EXCAVADORA CAT320D MARTILLO O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-07-EXCAVADORA-CAT330D-MARTILLO-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,EXCAVADORA CAT330D MARTILLO O SIMILAR,HR,6691.42,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,EXCAVADORA CAT330D MARTILLO O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.07 EXCAVADORA CAT330D MARTILLO O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-08-PALA-CARGADOR-FRONTAL-CAT950G-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,PALA - CARGADOR FRONTAL CAT950G O SIMILAR,HR,4531.93,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,PALA - CARGADOR FRONTAL CAT950G O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.08 PALA - CARGADOR FRONTAL CAT950G O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-09-RODILLO-IR-SD100-D-10TON-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,RODILLO IR SD100-D 10TON O SIMILAR,HR,3388.08,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,RODILLO IR SD100-D 10TON O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.09 RODILLO IR SD100-D 10TON O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-1-MOTONIVELADOR-CAT12H-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,MOTONIVELADOR CAT12H O SIMILAR,HR,5082.12,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,MOTONIVELADOR CAT12H O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.1 MOTONIVELADOR CAT12H O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-11-BULLDOZER-CATD6N-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,BULLDOZER CATD6N O SIMILAR,HR,7285.07,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,BULLDOZER CATD6N O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.11 BULLDOZER CATD6N O SIMILAR COSTOS HORARIOS MAQUINARIAS
EQP-100-12-BULLDOZER-CATD8R-O-SIMILAR,COSTOS HORARIOS MAQUINARIAS,BULLDOZER CATD8R O SIMILAR,HR,12029.96,DOP,ConstruCosto.do Equipos y Movimientos de Tierra Santo Domingo MAYO26,2026-05-01,BULLDOZER CATD8R O SIMILAR COSTOS HORARIOS MAQUINARIAS Excon S.A. Excavaciones y Mov Tierra 100.12 BULLDOZER CATD8R O SIMILAR COSTOS HORARIOS MAQUINARIAS
